   Sifilis,1443456,1377486,1170613,1103662,155956,147839,388982,25323,69937,84341,82658,74953,72755,80945,70178,67985,6417069
   Tuberculosis,474369,454399,369830,332766,188370,301964,1459074,1528630,1630933,1465132,1433494,1032134,857648,742246,617477,629983,13518449
   Cancer Cervicouterino,1895603,1973141,2168503,2518969,2106413,1557625,1952931,1894202,2498526,2377197,3030824,3022043,3276045,3354494,3090734,2970906,39688156
   Diabetes,5185103,5230196,5361306,6194077,6790874,1851072,2721421,5484550,6908780,7455997,8730056,9970761,11203044,11903423,9972697,12715083,117678440
   Nutricion,,,1577508,21033444,54909349,17990921,21961572,12990287,16800057,18228827,19531406,22553303,26354957,27225714,26367016,27176292,314700653
   Cancer Mamario,2201975,2290956,2454077,3355434,2415395,2382524,3716332,2855539,4522141,4982626,5862895,5966064,6680613,6431606,6108442,6194922,68421541
   Hipertension Arterial,6595050,6691400,6689044,9204178,38065529,7864327,7964251,5448546,7043837,7551426,8901832,10238512,11783441,11911067,11197813,12640216,169790469
   Paludismo,100562,79882,66514,39323,,67669,15052,,5462,5958,3503,1568,1636,1247,1009,1521,390906
   Agudeza Visual,,,,553865,409136,677413,2873083,388442,1303549,1318095,1385206,1577871,1862046,1865276,1831553,1773410,17818945
   SIDA,992486,802323,715185,551303,,72547,18887,36140,218722,190644,167212,128325,63835,71803,54718,82355,4166485
   Hepatitis,1213474,1005288,,627470,,28344,17400,,12043,7368,8519,4559,4305,3662,2946,3081,2938459
   Otras,562146,571996,1021736,1376474,537136,521440,514442,2779091,4563897,8211427,5190445,5663072,5939074,5981933,5435605,6207426,55077340
Otras acciones preventivas,1391882,1172805,1004000,821192,16580573,26953229,71243151,50909100,72166278,79884622,103275269,109118150,134159241,133663310,132204684,126216113,1060763599
